Classes
Spaghetti Ajam Pedas
Pempek Crispy Oedang
Mangga Jelita
Sop Boentoet Goreng Penyet (+Nasi)
Nasi Brijani Kambing
Ijs Caramel Latte
LUMPIA UDANG @5 PCS (1 PACK)
LUMPIA SAYUR @5PCS (1PACK)
SINGKONG @12 SLICE+SMBL ROA 25GRAM(1 PACK
LUMPIA SAYUR (1 BOX)
Ijs Shakerato
Roti Taloea Boekittinggi (Ajam Kampoeng)
Ijs Tjendol Ambyar Durian
Kornet (30 gr)
Ijs Hazelnut Latte
Ijs Sir Lemon
Roti Bakar Corned Kedjoe
Ijs-Thai-Tea-500-ml
Orange Fizz
Roti Bakar Kedjoe Katjang
Roti Bakar Goela Aren
Ijs-Koffie-Soesoe-Indotjina
Ijs-Koffie-Tarek
Ijs-Teh-Limao
Roti Bakar Corned Beef
Ijs Susu Kurma
Bakmi Goreng Spesial Seafood
Koffie Roboesta Haloes (500gr)
CHEESE OMELETTE
Mie Kari Kambing
Ijs Sir Monda
Mie Kari Ajam
KROKET BELANDA @5 PCS (1 PACK)
Ijs-Koffie-Sisiliana-500-ml
Teh-Tarek-Semenandjoeng-500-ml
Koffie-Tarek-500-ml
Kopi Arabika Robusta Sunda
Telor Dadar
Dimsum Siomay Ajam (4 pcs)
Ijs Tjintjao Mint
Kedjoe Cheddar (25 gr)
Ijs-Tjingtjao-Letji
Kwetiau-Goreng-Sapi
Cappucino
Ijs Sirsak
Kopi Bali Kintamani (Arabika )
Nasi-Goreng-Kampoeng
Nasi-Goreng-Teri-Medan
Mie-Kari-Ajam
Mie-Ajam-Baso
Nasi-Goreng-Ndeso
Ijs-Letji-Yakult
Roti Taloea Boekittinggi
Nasi Ikan Asam Pedas
SOTO DAGING (1 PACK)
AYAM BACEM @3 PCS (1 PACK)
IJS LECY JERUK
Chiken Wing Caramel
Roti-Bakar-Srikaja
Koffie-Soesoe-Indotjina
BUMBU BAKMI JAWA @250 GRAM (PACK)
Ijs Taro Latte
AYAM BACEM (1 PACK)
BAKSO IKAN CEDEA 1KG (1 PACK)
BEBEK NUSANTARA @3 PCS 
BEBEK NUSANTARA @10 PCS
BUBUK KOYA @100GRAM (1PACK)
BUMBU NASI GORENG KAMPUNG @250 GRAM (1PACK)
BUMBU NASI GORENG TERI MEDAN @250 GRAM (1 PACK)
BUMBU PECEL 250GRAM (1 PACK)
BUMBU SOTO AYAM @250GRAM (1PACK)
IKAN CAKALANG ASAP (1 PACK)
IKAN CAKALANG ASAP ISI 5 (1 PACK)
KROKET BELANDA (1 BOX)
LUMPIA UDANG (1 BOX)
PISANG GORENG (1 PACK )
SAMBAL GORENG @250GRAM (1 PACK)
SAMBAL ROA @250 GRAM (1 PACK)
SAUS BOLOGNAISE (1 PACK)
SAUS BOLOGNAISE ISI 5 PCS (1 PACK)
SERUNDENG EBI (1 PACK)
SERUNDENG KELAPA @250GRAM (1PACK)
SINGKONG @12 SLICE (1 PACK)
SOP BUNTUT (1 PACK)
SOP IGA (1 PACK)
Roti-Butter-Srikaja
Djamoe Djahe Merah Sachet
Djamoe Beras Kentjoer Sachet
Koffie Arabika Roboesta Kasar (500gr)
Ijs Koffie Keponakan Durian
Bakmie-Djawa-Reboes
Singkong-Sambel-Roa
Ijs-Teh-Tarek-Semenandjoeng
Kwetiaw-Goreng
Pisang-Goreng-Polos
Roti-Bakar-Kedjoe-Srikaja
Pisang-Bakar-Tjokelat-Kedjoe
Mie-Kepiting-Pontianak
Air-Minoem-Dalam-Kemasan
Ijs-Thai-Tea
Roti Bakar Moka Keju
Keripik Kentang BBQ @85 Gr
Ijs-Koffie-Keponakan-500-ml
Keripik Singkong Djeroek @100gr
Rengginang Terasi @100gr
Keripik Paroe (75gr)
Keripik Talas BBQ (110gr)
Roti (1 pcs)
Roti Prata Pisang Soesoe Tjokelat
Roti Pandan Srikaja Butter
Bihoen-Goreng
Koffie-Tarek
Teh-Tarek-Semenandjoeng
Soesoe Tjair (100 ml)
Roti Nogat Smoked Beef Kedjoe
Rengginang Mini Asin @200gr
Keripik Singkong (110gr)
Teh-Djahe-Salatiga
Teh Tarik 1 Liter
Koffie Tarik 1 Liter
Pisang Goreng Wijen
Soekoen Sambel Roa
Roti Bakar Pandan Srikaja
Pempek Kulit
Sop Tekwan
Ijs-Teh-Letji
Nasi-Goreng-Seafood
Ijs-Koffie-Sisiliana-1000-ml
Baso Goreng
Pempek Lendjer
Boeboer-Ajam-Oey
Ijs-Koffie-Sisiliana
Teh-Daon-Mint
Thai Tea 1 Liter
BEBEK NUSANTARA @ 3 PCS
BEBEK NUSANTARA @ 8 PCS
Bubur Ikan Tjakalang
Es-Mint-Leci
Soto-Tangkar
Kentang-Goreng
Specialty Robusta
Paket Roti Bakar Selai
Paket Hemat 3 (Ayam bacem geprek)
Paketan Ngopi Puas 
Paket Makan Berdua + Teh Tarik
Paket Hemat 2 (Ayam goreng mentega)
Bakmie-Djawa-Goreng
Paket Hemat 1 (Ayam lada hitam)
Paket Santai Ramean
Paket Makan Berdua + Kopi Keponakan
Pisang Goreng
Ayam Bacem @3pcs
Bebek Nusantara @3pcs
Lumpia Udang @5pcs
Lumpia Sayur @5pcs
Kroket @5pcs
Singkong Sambal Roa
Es Koffie Keponakan
Ijs Teh Tarek 
Ijs-Koffie-Keponakan-1000-ml
Rengginang Mini Asin @100gr
Nasi Merah
Pecel Ndeso
Macaroni Schotel (200gr)
Keripik Singkong Djeroek @200gr
Ijs Vanilla Latte
Ijs Thai Tea Cheese
Lasagna Beef (200gr)
Roti Nogat  Moka Katjang Kedjoe 
Pecel Ndeso Sinyo
Nasi Goreng Kambing Pedas package
Lanting @150gr
Kopi Aroma Robusta Kasar @250 gr
Keripik Talas BBQ (220gr)
Kerupuk Gendar
Durianosaurus
Kopi Robusta Spesial @250 gr
Nasi Goreng Vegetarian with Truffle Oil
Djamoe Koenjit Sachet
Teh Djahe Salatiga (30%)
Ijs Koffie Keponakan (30%)
GF Ijs Koffie Keponakan
Ijs Koffie Soesoe Indotjina (30%)
Stik Sutra Bayam
Roti Bakar Srikaja (Mumer)
Roti Bakar Tjoklat (Mmer)
Roti Butter Srikaya (Mumer)
Roti Bakar Kacang (Mumer)
Roti Bakar Kedjoe ( Mumer)
Nasi ajam Goreng Mentega (30%)
Nasi Ajam Lada Hitam (30%)
Singkong Sambal Roa (Promo April)
Nasi Goreng Ikan Asin (30%)
Roti Butter Srikaya (Promo April)
GF Nasi Goreng Teri Medan
GF Nasi Dori Geprek
GF Nasi Ayam Lada Hitam
Chicken Wings Caramel With Rice
GF Nasi Goreng Ndeso
Nasi Goreng Teri Medan (Happy Hour 70%)
Nasi Ajam Lada Hitam (PROMO)
Chicken Wings Spicy With Rice
LUMPIA UDANG ISI 25 PCS
GF NASI AJAM GORENG MENTEGA
GF PISANG GORENG POLOS
Nasi Goreng Ndeso (Happy Hour 70%)
Roti Bakar Keju Srikaya (Promo April)
GF Nasi Goreng Ajam
GF Ijs Teh tarek Semenanjoeng
GF Roti Bakar Prantjis
GF Koffie Soesoe Indotjina
GF Nasi Goreng Kampoeng
CASHBAC 30% MENU 1
ROTI NOUGAT PACKAGE
GF Chicken Wings Spicy
Paket Makan Bakmi Sekeluarga
Paket Ngopi Sekeluarga
Paket Makan Nasi Sekeluarga
Paket Makan Roti Sekeluarga
Paket Ngemil Sekeluarga
Paket Nasi Ayam Goreng Kuning
Paket Nasi Ayam Lada Hitam
Paket  Nasi Empal Goreng
GF NASI GORENG KAMPUNG
GF LOEMPIA OEDANG
GF BAKMI DJAWA GORENG
GF SOEKOEN SAMBEL ROA
GF ROTI BAKAR PRANJIS 
GF NASI GORENG TRIMEDAN
GF ROTI BAKAR SRIKAJA
GF MPEMPE CRISPY
GF ROTI BUTTER SRIKAJA
FREE Ijs Koffie Keponakan
GF IJS TEH TAREK SEMENANJUNG
GF NASI GORENG VEGETARIAN
GF MIE AJAM BASO
GF PISANG GORENG TJOKLAT KEDJOE
GF KWETIAW GORENG SAPI
GF SOP BUNTUT GORENG PEDAS (+NASI)
GF KROKETJES BLANDA
GF BAKMI GORENG SAPI
GF IKAN DAN KENTANG GORENG
GF LOEMPIA SAJOER
GF TEH TARK PANAS
GF IJS TEH TARIK SEMENANJUNG
GF TEH TAREK SEMENANJOENG
GF BAKMI DJAWA REBUS
GF PISANG GORENG ORIGINAL
GF KWETIAW GORENG AJAM
Paket Chiken Katsu
GF ROTI BAKAR COKLAT
GF NASI GORENG KAMBING PEDAS
GF ROTI BAKAR COKLAT KACANG
GF OTAK OTAK SINGAPORE
GF KOFIE SOESOE INDOTJINA
GF MIE KEPITING PONTIANAK
GF SOTO DESO (+NASI)
GF FROZZEN LUMPIA SAYUR@5PCS
GF MIE JAMIN BAKSO
GF MIE JAMIN PEDAS
GF PEMPEK CRISPY OEDANG
GF ROTI BAKAR CORNED BEEF
GF NASI GORENG SAPI PEDAS
GF SOP BUNTUT KUAH (+NASI)
GF SOTO TANGKAR (+NASI)
GF NASI GORENG KAMBING
GGF FROZZEN BEBEK NUSANTARA@3PCS
GF IJS TEH LIMO
GF FROZZEN LUMPIA UDANG@5PS
GF NASI IKAN DORI GEPREK
GF FROZZEN SINGKONG ROA@270GR
GF ROTI BAKAR KEJU
GF FROZZEN KROKET@5PCS
GF FROZZEN PISANG GORENG@130GR
GF NASI AJAM LADA HITAM
GF IJS TEH
GF AYAM LADA HITAM
GF NASI GORENG AYAM
GF IJS KOFIE INDOTJINA
GF LUMPIA UDANG
GF FROZZEN AYAM BACEM@3PCS
GF FROZEN LUMPIA UDANG@5PCS
GF SINGKONG SAMBAL ROA
GF ROTI PANDAN SRIKAYA
GF TEH TARIK SEMENANJUNG
GF ROTI BAKAR SRIKAYA
GF FROZZEN SINGKONG ROA
GF IJS KOFFIE KEPONAKANN
GF NASI AYAM LADA HITAM
GF NASI AYAM GORENG MENTEGA
GF NASI GORENG TERI MEDANN
GF ROTI BAKAR PRANJIS
GF IJS KOFFIE SUSU INDOCINA
GF IJS TEH LIMAO
GF ROTI BUTTER SRIKAYA
GF DONAT SINGKONG (3PCS)
GF CHICKEN WINGS SPICY
GF BAKMI JAWA GORENG
GF SOEKOEN SAMBAL ROA
GF LUMPIA SAYUR
GF IJS TEH TARIK SEMENANDJOENG
GF MIE AJAM BAKSO
GF CHIKEN WINGS CARAMEL
GF KROKET BLANDA
GF ROTI BAKAR KEDJU SRIKAJA
GF KOFFIE SUSU INDOCINA
GF KWITIAW GORENG SAPI
GF PISANG GORENG TJOKLAT KEJU
GF NASI GORENG AJAM
GF SOP BUNTUT GORENG PEDAS+NASI
GF IJS THAI TEA
Roti Nogat Original
GF CAPUCINO
GF IJS KOFFIE SISILIANA
Bakmi-Goreng-Spesial-Sapi
Sego-Ireng
Djoes-Kedondong
Nasi Goreng Boentoet Pedas
Butter Croissant
Cheese Stick
Stik Sutra Wijen
Tuna Puff
Lanting @300gr
CASHBAC Ijs Koffie Durian
Keripik Kentang BBQ @160gr
Rengginang Terasi @200gr
CASHBAC 30% MENU 2
CASHBAC Nasi Tjaptjai Babah Oey
CASHBAC 30% MENU 3
FS Ijs Koffie Keponakan
Roti Bakar Tjoklat
Roti Bakar Srikaya
Wedang Oewoeh
Roti Kaya Butter
Teh Tarek Semenanjung
Telor 1/2 Matang (Ajam Kampoeng)
Koffie Tarek 
FLORES BAJAWA
Loempia Oedang (2 Pcs)
Tjoklat Panas
Air Minoem Kemasan
Nasi Tiem (tanpa sayap ayam)
Teh Tjap Botol Sosro
Chicken Wing Original
Singkong Tjoklat Kedjoe
Soto Daging Ndeso + Nasi
Koffie Saring Atawa Koffie O
ACEH GAYO
KERUPUK KAMPUNG 
Telor (1 Pcs)
Ijs Tjintjao Djahe
Soto Tangkar
Ijs Tjoklat
Nasi Tus Tus Cakalang
TEMANGGUNG
Bakmi Djawa Goreng
Ajam Goreng
Nasi Goreng Ikan Asin
Kroketjes Blanda (2 Pcs)
Sop Buntut Goreng Pedas + Nasi
Sop Ikan Dori
Sop Buntut Kuah + Nasi
Soto Bihun Daging + Nasi
Soto Bihun Ayam + Nasi
KERUPUK WARNA
Bakmi Djawa Rebus
Pisang Bakar Tjoklat Kedjoe
Nasi Tjapjay Babah Oey
Roti Prata Soesoe Tjoklat
Roti Prata Pisang Soesoe Tjoklat
Sop Boentoet Goreng Penyet + Nasi
Loempia Sajoer (2 Pcs)
TORAJA KALOSI
Dimsum Siomay Ajam (4 Pcs)
Ikan Saus Asem Pedas
Koffie Aroma Roboesta Haloes 500gr 
Roti Bakar Keju Tjoklat
Roti Telor Belanda
Cappuccino
Ijs Koffie Mocca
Puyuh Geprek + Nasi
Telor 1/2 Matang
Soesoe Kental Manis 
Ajam Goreng Mentega
Frestea Apple
Emping 
Kedjoe Cheddar (25 gr )
Roti Bakar Keju Srikaya
Nasi Brijani
Teh Botol Sosro
Roti Prata Pisang Soesoe Tjoklat Kedjoe
Djoes Strawberry
PEMPEK KAPAL SELAM
BALIKINTAMANI
Bali Kintamani @250 Gr
Bebek Ketemoe Djodoh (Bekjo)
Ice Cream (1 scoop)
PEMPEK LENJER
Ajam Lada Hitam
Roti Taloea Bukittinggi
Roti Bakar Strawberry
Green Tea Latte Panas
Teh Toebroek Blontang
Koffie Aroma Roboesta Kasar 500gr
Toraja Kalosi @250 Gr
Djoes Timon
Keripik Singkong @110 Gr
Roti Bakar Keju Strawberry
Flores Bajawa @250 Gr
Roti Taloea Bukittinggi (Ajam Kampoeng)
Keripik Paru @75 Gr
Keripik Talas BBQ @110 Gr
Ayam Goreng Keponakan
Frestea Green Honey
Es Kepal Milo
GF Ijs Koffie Soesoe Indotjina
GF Ijs Koffie Sisiliana
BAKED PEANUT BROWNIE BAR (KUE KACANG)
GF Pisang Bakar Tjoklat Kedjoe
GF Nasi Goreng Ikan Asin
GF Singkong Sambel Roa
GF Koffie Tarek
GF Ijs Teh Tarek Semenandjoeng
GF Djahe Merah
GF Pisang Goreng Polos
GF Roti Butter Srikaja
GF Sego Ireng Spesial
GF Soto Tangkar
GF Pempek Kapal Selam
Temanggung @250 Gr
Spaghetti Salmon Aglio Lio
GF Sego Ireng
GF Roti Bakar Corned Beef
GF Boeboer Ajam Oey
GF Ijs Koffie Tarek
GF Roti Bakar Kedjoe Tjoklat
GF Teh Tarek Semenandjoeng
GF Telor 1/2 Mateng
GF Mie Ajam Baso
GF Pisang Goreng Tjoklat Kedjoe
GF Nasi Tiem Petak 9
Aceh Gayo @250 Gr
GF Pempek Krispi
GF Roti Taloea Boekittinggi (Ajam Kampoeng)
GF Singkong Reboes
GF Sop Boentoet Goreng Pedas + Nasi
GF Dimsum Siomay Ajam (4 pcs)
GF Koffie Soesoe Dingin Dalam Botol
GF Nasi Tjaptjai Babah Oey
GF Roti Bakar Srikaja
Wiener Melange
Creme Brulle
BAKED BROWNIE BAR (KUE COKLAT)
GF Roti Taloea Boekittinggi
GF Djoes Strawberry
GF Telor (1 pcs)
GF Bihoen Goreng 
GF Kroketjes Blanda
GF Djoes Kedondong
GF Nasi Brijani
GF Roti Prata Kari Ajam
GF Nasi Poetih
GF Roti Bakar Tjoklat
GF Roti Bakar Corned Kedjoe
Djoes Pare Coy
Frestea Markisa
Chicken Wing Basket
GF Soto Ndeso + Nasi
BROWNIES A LA MODE (KACANG)
GF Ijs Teh Limao
GF Soto Bihoen Sapi + Nasi
GF Ajam Goreng Mentega
GF Roti Telor Blanda
GF Spaghetti Toena Pedas
GF Nasi Brijani Kambing Pedas
Keripik Talas BBQ @220 Gr
Bandrek
GF Bakmie Djawa Goreng
GF Kwetiaw Goreng
Sambel Roa @250 gr
GF Kentang Goreng
GF Roti Bakar Kedjoe Srikaja
GF Loempia Sajoer
GF Mie Kepiting Pontianak
GF Bebek Ketemoe Djodoh (Bekjo)
GF Roti Prata Pisang Soesoe Tjoklat Kedjoe
GF Roti Prata Soesoe Tjoklat
GF Roti Prata Pisang Soesoe Tjoklat
GF Boeboer Ajam Tangerang
GF Djoes Djeroek
GF Telor 1/2 Mateng (Ajam Kampoeng)
GF Djamoe Djahe Merah Sachet
GF Djamoe Koenjit Sachet
GF Tjoklat Panas
Sop Buntut Goreng Sambal Ijo
GF Koffie Single Origin
GF Sop Ikan Dori
GF Wedang Oewoeh Sachet
GF Soto Bihoen Ajam + Nasi
GF Wedang Oewoeh Imogiri
GF Loempia Oedang
GF Bakmie Djawa Reboes
GF Roti Bakar Kedjoe
GF Ijs Cappuccino
Koffie Robusta Spesial @250gr
Singkong Setengah Porsi
GF Teh Taloea Boekittinggi
GF Teh Tjap Botol Sosro
GF Club Sandwich
GF Roti Bakar Corned Telor
GF Ijs Tjingtjao Djahe Tjikini
GF Teh Tarek Djahe
GF Ijs Tjoklat
GF Ijs Koffie Mocha
GF Cappuccino
GF Sop Boentoet Goreng Sambel Ijo + Nasi
GF Nasi Goreng Kambing
Frestea Jasmine
GF Sambel Roa
GF Koffie Taloea Boekittinggi
GF Poejoeh Geprek
GF Ijs Milo
GF Sop Boentoet Koeah + Nasi
GF Koffie Toebroek Djawa
GF Nasi Goreng Kambing Pedas
GF Milo Dino
Sop Ikan Salmon
Steak Salmon Saus Dabu Dabu
GF Teh Djahe Salatiga
GF Ajam Lada Hitam
Soto Tangkat + Nasi
GF Ijs Teh
Rengginang Manis Asin @200 Gr
GF Toena Sandwich
GF Kroepoek
Tengkleng Solowi
Kerupuk Ikan
Keripik Singkong @220 Gr
Lontong Tjap Gomeh (11.00 - 15.00)
GF Djeroek Panas
GF Singkong Tjoklat Kedjoe
Gado - Gado Bonbin (11.00 - 15.00)
GF Gado - Gado Bonbin (11.00 - 15.00)
GF Ajam Goreng (1 pcs)
GF Djamoe Beras Kentjoer Sachet
GF Roti Bakar Strawberry
GF Roti Bakar Kedjoe Strawberry
GF Ikan Asam Pedas
GF Nasi Rames Bonbin (11.00 - 15.00)
GF Ikan & Kentang Goreng
GF Pempek Lenjer
GF Koenjit
Koffie Mocca
GF Chicken Sandwich
Nasi Rames Bonbin (11.00 - 15.00)
BROWNIES A LA MODE (COKLAT)
GF Milo Panas
GF Lontong Tjap Gomeh (11.00 - 15.00)
Gf Sop Ikan Salmon
GF Mie Kari Ajam
Steak Salmon Sauce Dabu Dabu
GF Ijs Djeroek Kietna Soda
GF Koffie O atawa Koffie Saring
GF Milo Dinosaurus
GF Koffie Single Origin Temanggung 250gr
GF Teh Daon Mint
GF Beras Kentjoer
GF Spaghetti Salmon Aglio Lio
GF Boentoet Sambel Penjet
Nasi Ajam Mentega
Kopi Susu Dingin
Lontong Tjap Gomeh (11 .00- 15.00)
Gado-Gado Bonbin (11 .00- 15.00)
GF Gado-Gado Bonbin (tersedia poekoel 11:00-15:00)
Nasi Rames Bonbin (11 .00- 15.00)
GF Teh Toebroek Blontank
Kopi Dingin Dalam Botol (dengan gula)
GF Emping
GF Ijs Teh Letji
GF Koffie Dingin Dalam Botol (tanpa goela)
GF Koffie Dingin Dalam Botol (dengan goela)
GF Ijs Mangga Djelita
GF Koffie Mocca
Koffie Aroma Arabika Roboesta Kasar 500gr
Kopi Dingin Dalam Botol (tanpa gula)
GF Mie Kari Kambing
GF Koffie Arabika Roboesta Kasar 500gr
Rebusan
GF Lontong Tjap Gomeh (tersedia poekoel 11:00-15:00)
Lontong
Nasi Goreng Rendang
GF Spaghetti Ajam Pedas
GF Es Krim (1 scoop)
GF Ijs Teh Daon Mint
GF Kornet (30 gr)
Ice Capucino 
GF Roti (1 pcs)
GF Lontong
Ice Teh
Sop Boentoet Koeah + Nasi
Ice Teh Leci
Roti Bakar Italia
Apple Fizz
Djoes Tjaysim
Nasi Goreng Rendang Spesial
GF Lontong Tjap Gomeh (11 .00- 15.00) weekend not sale
GF Gado-Gado Bonbin (11 .00- 15.00) weekend not sale
Nasi Goreng Rendang Paru
Djoes Singkong
Keripik Kentang BBQ @160 Gr
E WATER
Risol Majo
Rengginang Manis Asin @100 Gr
Roti Pisang Vanilla
Sop Ayam + Nasi
Soto Ayam + Nasi
Nasi Bakar Ikan Peda
GF Sop Boentoet Koewah + Nasi
GF Sop Boentoet Goreng Saos Pedas + Nasi
Nasi Bakar Cakalang
GF Ijs Koffie Mocca
Reginang Terasi @ 300 gr
Lanting @ 150 gr
Lanting @ 300 gr
GF Teh Tjeloep Premium
Reginang Terasi @ 150 gr
Puding Kelapa
GF Soto Bihun Ndeso (Ayam)+ Nasi
GF Kopi Soesoe Dingin
GF Kopi Dingin (with sugar)
Nasi Bakar Ayam
GF Nasi Bakar Ikan Peda
GF Soto Bihun Ndeso (Daging)+ Nasi
GF Nasi Rames Bonbin (11 .00- 15.00) weekend not sale
GF Teh Limao
Teh Tjeloep (by Savis)
GF Banana Flambe Ala Mode
GF Air Minoem Dalam Kemasan
